,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
STAR_MASS,Mass: %s solar masses,Masse: %s masses solaires,Massa: %s masse solari,质量: %s太阳质量,Masse: %s Sonnenmassen,Masa: %s masas solares,,Massa: %s solmassor,Tömeg: %s naptömeg,質量：%s solar mass,Massa: %s zonsmassa,Масса: %s солнечных масс
STAR_LUMINOSITY,Luminosity: %s solar luminosity,Luminosité: %s luminosités solaires,Luminosità: %s luminosità solari,亮度: %s太阳亮度,Helligkeit: %s Sonnenhelligkeit,Luminosidad: %s luminosidades solares,,Ljusstyrka: %s sollysstyrkor,Fényerő: %s napfényerő,光度：%s solar luminosity,Helderheid: %s zonne-helderheid,Светимость: %s солнечная светимость
METALS,Metals,Métaux,Metalli,金属,Metalle,Metales,금속,Mettaler,Fémek,金属,Metalen,Металлы
INV_MET_DESC,Metals are used in crafting and constructing higher level buildings.,Les métaux sont nécessaires à la fabrication des objets et à la construction des bâtiments de haut niveau.,I metalli sono usati per creare oggetti e per costruire edifici più avanzati.,金属用于手工艺或建造更先进的建筑物。,Metalle werden zum Herstellen von Items und Bauen von einigen Gebäuden benötigt.,Los metales son usados en la fabricación y construcción de edificios de mayor nivel.,,Mettaler används i hantvärk och i konstruktion av advanserade byggnader.,A fémek barkácsoláshoz és magasabb szintű épületekhez. kellenek,金属は工芸品やより高度な建築物の建設に使用されます。,Metalen worden gebruikt om items en geavanceerde gebouwen te maken.,Металлы используются в крафте и строительстве зданий более высокого уровня.
WOODEN_PICKAXE,Wooden pickaxe,Pioche en bois,Piccone di legno,木镐,Holzspitzhacke,Pico de madera,나무 곡괭이,Trähacka,Facsákány,木製のつるはし,Houten pikhouweel,Деревянная кирка
WOODEN_PICKAXE_DESC,,,,朴实无华的巧木雕,"Vollkommen aus Holz, aber besser als nichts","Un simple pico de madera, bastante débil",,,Egyszerű szerszám,枝よりはマシでしょう。,Nét wat beter dan een stok.,
STONE_PICKAXE,Stone pickaxe,Pioche en pierre,Piccone di pietra,石镐,Steinspitzhacke,Pico de piedra,돌 곡괭이,Stenhacka,Kőcsákány,石のつるはし,Stenen pikhouweel,Каменная кирка
STONE_PICKAXE_DESC,,,,终于来了个像样点的了,Zerbröselt schnell aber besser als Holz,¿Que le dijo una piedra a otra piedra? Que dura es la vida!,,,Követ kő ellen?,石になって頑丈になりました。,"Beter dan hout, maar breekt snel.",
LEAD_PICKAXE,Lead pickaxe,Pioche en plomb,Piccone di piombo,铅镐,Bleispitzhacke,Pico de plomo,납 곡괭이,Blyhacka,Ólomcsákány,鉛製つるはし,Loden pikhouweel,Свинцовая кирка
LEAD_PICKAXE_DESC,,,,"用上了初阶金属,但太特喵的沉了","Schwer in der Hand, sie hält etwas länger",,,,,金属になりましたがまだまだ非力です。,,
COPPER_PICKAXE,Copper pickaxe,Pioche en cuivre,Piccone di rame,铜镐,Kupferspitzhacke,Pico de cobre,구리 곡괭이,Kopparhacka,Rézcsákány,銅製つるはし,Koperen pikhouweel,Медная кирка
COPPER_PICKAXE_DESC,,,,变的精通了起来,Meine Erste aus sinnvollem Metall,Hacer herramientas de un metal fácilmente maleable no es una muy buena idea...,,,,鉛より早く掘れますが耐久は同じです。,,
IRON_PICKAXE,Iron pickaxe,Pioche en fer,Piccone di ferro,铁镐,Eisenspitzhacke,Pico de hierro,철 곡괭이,Järnhacka,Vascsákány,鉄製つるはし,IJzeren pikhouweel,Железная кирка
IRON_PICKAXE_DESC,,,,专业，成熟,Hält für Tage und Tage,"Pico de hierro, no es ciencia nuclear pero cumple su función",,,Egy klasszikus. Erős és tartós.,これぞ定番！,Een onmisbaar gereedschap voor serieuze ontginning.,
SURFACE_DESC,It is the uppermost layer of a planet. You can find materials in this layer.,C'est la couche la plus externe d'une planète. On peut y trouver des matériaux.,È lo strato più esterno di un pianeta. Qui troverai materiali.,它是行星的最上层。你可以在本层找到原料。,"Die oberste Schicht eines Planete, in welcher Metalle abgebaut werden können.","Es la parte más superficial de un planeta, puedes encontrar materiales en esta capa.",,Det är det översta lagret på en planet. Du hittar material i detta lager. ,A bolygó legfelső rétege. Itt anyagokat találhatsz.,惑星の最上部にある層です。この層では、物質を見つけることができます。,Dit is de bovenste laag van de planeet. Hier kan je materialen vinden.,Это самый верхний слой планеты. В этом слое можно найти материалы.
CRUST_DESC,The crust is rich in metals that are important for game progression.,La croûte est riche en métaux qui sont importants pour progresser dans le jeu.,"La crosta è ricca di metalli, importanti per avanzare nel gioco.",地壳中含有丰富的各种金属，这些金属对产业进程非常重要。,Die Kruste ist reich an Metallen welche für den Spielfortschritt wichtig sind.,La corteza es rica en minerales que son importantes en la progresión del juego.,,Skorpan är rik på metaller som är viktiga för spelets progression.,"A kéregben sok fém található, ezért fontos a haladáshoz.",地殻には、ゲームの進行に重要な金属が豊富に含まれています。,De korst is rijk aan metalen die belangrijk zijn voor de spelvoortgang.,"Кора богата металлами, которые важны для прогресса."
BASIC,Basic,Base,Base,基础设施,Basis,Básico,기본,Grundläggande,Alap,基本,Basis,Основные
BASIC_DESC,Construct buildings that generate the most basic resources.,Les bâtiments qui produisent des ressources de base se trouvent ici.,Qui si trovano edifici che producono risorse di base.,这些建筑产生最基本的资源。,Basisgebäude bauen,Construye edificios que generan los recursos más basicos.,,Konstruera byggnader som genererar de mest grundläggande resurserna.,Alapvető dolgokat készítő épületek építése.,最も基本的な資源を生成する建物を建設する。,Bouw gebouwen die de simpelste grondstoffen genereren.,"Стройте здания, которые производят самые необходимые ресурсы."
STORAGE,Storage,Stockage,Magazzino,存储设施,Lager,Almacenamiento,보관,Lager,Tárolás,倉庫,Opslag,Хранилище
STORAGE_DESC,Buildings that increase the storage of a particular resource can be found here.,Les bâtiments qui augmentent la capacité de stockage d'une ressource sont ici.,Qui ci sono edifici che aumentano la capacità di magazzino di una risorsa.,增加水晶存储的建筑可以在这里找到。,Gebäude welche die Lagerkapazität von bestimmten Ressourcen erhöhen können hier gefunden werden.,Los edificios que aumentan el almacenamiento de un recurso en particular se encuentran aquí.,,Byggnader som ökar lagringen av en viss resurs finns här.,"Épületek, amik megnövelik különböző anyagok táolási kapacitását.",リソースの貯蔵量を増やす建物はこちら。,"Gebouwen die de opslagcapaciteit voor bepaalde grondstoffen verhogen, zijn hier te vinden.","Здания, увеличивающие запасы того или иного ресурса, можно найти здесь."
ME_NAME,Mineral extractor,Extracteur de minéraux,Estrattore di minerali,水晶萃取机,Mineralienextraktor,Extractor de minerales,광물 추출기,Mineralextraherare,Ásványkivonó,鉱物抽出機,Mineraalontginner,Добытчик минералов
ME_NAME_S,Mineral extractors,Extracteurs de minéraux,Estrattori di minerali,水晶萃取机,Mineralienextraktoren,Extractores de minerales,광물 추출기,,Ásványkivonók,鉱物抽出機,Mineraalontginners,Добытчики минералов
ME_DESC,"Extracts minerals from the planet surface, giving you a constant supply of minerals.",Extrait des minéraux de la surface pour un approvisionnement constant des minéraux.,Estrae minerali dalla superficie per una fornitura costante di minerali.,只负责在行星地表提纯水晶矿物质，给你源源不断的水晶供应。,Extrahiert Mineralien aus der Planetenoberfläche um eine stetige Versorgung zu ermöglichen.,"Extrae minerales de la superficie, suministrando una cantidad constante de minerales.",,"Extraherar mineraler från planets yta, vilket ger dig en konstant tillförsel av mineraler.","Kivonja az ásványokat a bolygó felületéből, ezzel folytonosan genrálja neked az ásványokat.",惑星表面から鉱物を抽出し、常に鉱物を供給することができます。,Voorziet je van een constante toevoer van mineralen uit de planeetoppervlakte.,"Добывает минералы с поверхности планеты, обеспечивая вам постоянный запас минералов."
PP_NAME,Power plant,Centrale électrique,Centrale elettrica,发电厂,Kraftwerk,Planta de energía,발전소,Kraftvärk,Erőmű,発電所,Energiecentrale,Электростанция
PP_NAME_S,Power plants,Centrales électriques,Centrali elettriche,发电厂,Kraftwerke,Plantas de energía,발전소,,Erőművek,発電所,Energiecentrales,Электростанции
PP_DESC,Generates energy out of thin air,Produit de l'énergie de nulle part,,使用稀薄的空气，并将它们转换成能量。,Generiert Energie,Genera energía de la nada,,Genererar energi ur luften,Energiát csinál a semmiből,大気からエネルギーを生み出します。,Genereert energie uit de lucht.,Генерирует энергию из воздуха
PRESS_F_TO_UPGRADE,Press F to upgrade,Appuyer sur F pour améliorer,Premere F per migliorare,按F升级,Drücke F zum verbessern,Presiona F para mejorar,F 누르면 업그레이드,Klicka F för att uppgradera,F a feljesztéshez,F：アップグレード,Druk op F om te upgraden,Нажмите F для улучшения
PRESS_Q_TO_DUPLICATE,Press Q to duplicate,Appuyer sur Q pour dupliquer,Premere Q per duplicare,按Q复制,Drücke Q zum duplizieren,Presiona Q para duplicar,Q 누르면 복제,Klicka Q för att dubblisera,Q a másoláshoz,Q：複製,Druk op Q om te dupliceren,Нажмите Q для дублирования
PRESS_X_TO_DESTROY,Press X to destroy (no refunds),Appuyer sur X pour détruire (pas de remboursements),Premere X per demolire (nessun rimborso),按X拆除(无返还),Drücke X zum zerstören (keine kostenerstattung),Presiona X para destruir (Sin reembolsos),,Kilcka X för att förstöra (inga återbetalningar),X az elpusztításhoz (nincs vissajáró),X：破壊（払い戻し不可）,Druk op X om te vernietigen (geen terugbetaling),Нажмите X для разрушения (без возврата)
UPGRADE,Upgrade,Améliorer,Migliorare,升级,Verbesserungen,Mejorar,업그레이드,Uppgradera,Feljesztés,アップグレード,Upgrade,Улучшить
LEVEL,Level,Niveau,Livello,等级,Level,Nivel,레벨,Level,Szint,レベル,Level,Уровень
SECOND,second,seconde,secondo,秒,Sekunde,segundo,초,Sekund,másodperc,秒,seconde,Секунда
S_SECOND,s,s,s,秒,S,s,초,s,mp,秒,s,сек
X_CAPACITY,%s capacity,Capacité de %s,,容纳%s,Lager %s,Almacena %s,저장 용량: %s,%s Kapasitet,%s kapacitás,容量 %s,%s capaciteit,%s вместимость
STORES_X,Stores %s,Stocke %s,Contiene %s,储存%s,Lager %s,Almacena %s,저장 용량: %s,Lagrar %s,Tárolja ezt: %s,容量 %s,Bewaart %s,Хранит %s
PATH,Path,Voie,Via,升级路线,Pfad,Camino,,Väg,Út,パス,Pad,Путь
COAL_DESC,The number 1 cause of climate change.,,,获取能量最原始的矿物,"Früher Biomasse, heute fast ausschließlich Kohlenstoff. Brennt Gut.",La causa número 1 del cambio climático.,,,,産業革命の第一歩。そして人類による気候変動の始まり。,Dé klassieke fossiele brandstof.,"Уголь, хорошее топливо для начала."
SAND_DESC,"Stone, but in very small pieces.",,,直径为毫米的颗粒,Körner mit weniger als 2mm Durchmesser.,Dicen que hay más de 180 estrellas por cada grano de arena.,,,Apró kvarcszemcsék.,石や鉱物の破片。,Het is ruw en kruipt overal tussen.,Рыхлая осадочная горная порода
CLAY_DESC,,,,用于简陋建筑的沉积混合物,Eine Sedimentmischung für Rudimentäre Gebäude.,Simple y rudimentaria arcilla.,,,,粘土は千の利用法がある,,Мелкозернистая осадочная горная порода
SOIL_DESC,One of the most underrated resources on Earth.,,,一种在地球上被低估的资源,Gut als Acker.,Tierra común y corriente.,,,,地球上で最も過小評価されている資源の一つです。,Planten kunnen niet zonder.,Обычная почва
CELLULOSE_DESC,Uses photosynthesis to transform rocks and light into food.,,,植物细胞的基本成分,Grundbaustein pflanzlicher Zellen.,Transforma rocas y luz en comida a través de la fotosíntesis.,,,Növények strukturális anyaga. Nagyon zöld.,光合成で水や光を食べ物や燃料に変える。,Gebruikt fotosynthese om aarde en licht om te zetten in eten.,Органическое соединение
GLASS_DESC,Solid or liquid?,,,固体呢还是液体呢,Wie eine durchsichtige Wand.,Porque la vaca no puede comer vidrio? Porque saldría leche cortada.,,,Nem titkol semmit.,透明であることと理解を得られることは同じではない。,"Breekbaar, maar erg nuttig.","Один из самых древних и, благодаря разнообразию своих свойств, — универсальный материал в практике человека."
LEAD_DESC,Low-tier metal that is more harmful than useful.,,,有毒重金属,Ein giftiges Schwermetall.,"Plomo, ni se te ocurra manejarlo sin equipo adecuado.",,,"Alacsony minőségű anyag, de legalább olcsó...",安価で重い。そして毒性も強い。,Veelvoorkomend metaal. Niet geschikt om waterleidingen uit te maken!,"Простое вещество свинец — ковкий, сравнительно легкоплавкий тяжёлый металл серебристо-белого цвета с синеватым отливом."
COPPER_DESC,Conducts heat and electricity very well.,,,柔软、流动性好、导电散热性好,"Weich, gut Strom und Wärme leitend.","Maleable, transmite el calor y la electricidad bastante bien.",,,"Jó vezető, markáns szín.",柔らかく、熱や電気をよく通す。,Uitstekende geleider voor warmte en elektriciteit.,Пластичный переходный металл золотисто-розового цвета
IRON_DESC,"A very abundant and durable metal that is transformed into many things to make our lives ""easier"".",,,许多金属合金的基本成分,Grundbaustein vieler Metalllegierungen.,"Hierro, sabe horrible.",,,A gépesítés alapja. ,非常に豊富で耐久性のある金属で、私たちの生活を「楽」にするために様々なものに変化しています。,De basis van zeer vele gereedschappen en constructies.,Ковкий переходный металл серебристо-белого цвета с высокой химической реакционной способностью
